"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 23:15:22 BDT 2023","Sun Sep 24 23:15:33 BDT 2023","10963","Suite","Test","TestPageCases.HomePage","TestPageCases.HomePage","LinkToHome","Scenario 1 & 2 Home page visibility test",""
"passed","Sun Sep 24 23:20:27 BDT 2023","Sun Sep 24 23:20:37 BDT 2023","9443","Suite","Test","TestPageCases.VerifyProceedToCheckoutButtonAndAddressDetails","TestPageCases.VerifyProceedToCheckoutButtonAndAddressDetails","InvoiceVerification","Scenario 16,17 and 18: Downloading Invoice , check Download text and loging out",""
"passed","Sun Sep 24 23:18:50 BDT 2023","Sun Sep 24 23:20:08 BDT 2023","77740","Suite","Test","TestPageCases.VerifyProceedToCheckoutButtonAndAddressDetails","TestPageCases.VerifyProceedToCheckoutButtonAndAddressDetails","LoginToShoppingCart","Login To cart and replicating scenario 7,8,9,10,11,12",""
"passed","Sun Sep 24 23:20:14 BDT 2023","Sun Sep 24 23:20:20 BDT 2023","6190","Suite","Test","TestPageCases.VerifyProceedToCheckoutButtonAndAddressDetails","TestPageCases.VerifyProceedToCheckoutButtonAndAddressDetails","AdressVerificationAndPlaceorder","Scenario 14: Verifying the details of DELIVERY ADDRESS and BILLING ADDRESS are the same.",""
"passed","Sun Sep 24 23:16:47 BDT 2023","Sun Sep 24 23:17:16 BDT 2023","28723","Suite","Test","TestPageCases.ValidLoginInput","TestPageCases.ValidLoginInput","validLoginInput","Scenario 6: Login User with the correct email and password. Verifying All featured product are visible",""
"passed","Sun Sep 24 23:20:37 BDT 2023","Sun Sep 24 23:21:07 BDT 2023","30095","Suite","Test","TestPageCases.BonusTask","TestPageCases.BonusTask","MatchProductWithSearch","Bonus Task: Verifying and match Blue Top Women's products from the menu bar and search bar.",""
"passed","Sun Sep 24 23:17:51 BDT 2023","Sun Sep 24 23:18:32 BDT 2023","40405","Suite","Test","TestPageCases.VerifyNegativeCartProductDetails","TestPageCases.VerifyNegativeCartProductDetails","quantityToProductdetails","Scenario 8,9,10: Search product, Add quantity of that product negative(-2), Verifying Price, negative Quantity and Negative Total. ",""
"passed","Sun Sep 24 23:18:32 BDT 2023","Sun Sep 24 23:18:50 BDT 2023","18356","Suite","Test","TestPageCases.VerifyNegativeCartProductDetails","TestPageCases.VerifyNegativeCartProductDetails","QuantityAddToSameProduct","scenario 11,12 : Verifying after negation; add a quantity of 10 for the product, Verifying total quantity,price",""
"passed","Sun Sep 24 23:15:33 BDT 2023","Sun Sep 24 23:16:21 BDT 2023","47386","Suite","Test","TestPageCases.SignUp","TestPageCases.SignUp","SignUpV","Scenario 3 & 4 SignUp Validation and logout",""
"passed","Sun Sep 24 23:17:16 BDT 2023","Sun Sep 24 23:17:51 BDT 2023","35197","Suite","Test","TestPageCases.VerifySearchProduct","TestPageCases.VerifySearchProduct","SearchProductVisible","Scenario 7: Verifying Search Product Visibility",""
"passed","Sun Sep 24 23:16:21 BDT 2023","Sun Sep 24 23:16:47 BDT 2023","26498","Suite","Test","TestPageCases.InvalidLoginInput","TestPageCases.InvalidLoginInput","invalidInputresponse","Login User with invalid email and Invalid password. Verifying the warning/error message.",""
"passed","Sun Sep 24 23:20:21 BDT 2023","Sun Sep 24 23:20:27 BDT 2023","6926","Suite","Test","TestPageCases.VerifyProceedToCheckoutButtonAndAddressDetails","TestPageCases.VerifyProceedToCheckoutButtonAndAddressDetails","PaymentToConfirmOrderAndDownloadInvoice","Scenario 15: Placing an Order and filling up Payment details. You can put dummy card information.",""
"passed","Sun Sep 24 23:20:08 BDT 2023","Sun Sep 24 23:20:14 BDT 2023","6406","Suite","Test","TestPageCases.VerifyProceedToCheckoutButtonAndAddressDetails","TestPageCases.VerifyProceedToCheckoutButtonAndAddressDetails","VerifyProcedTocheckout","Scenario 13: Verify Proceed to Checkout Button is not disabled and click on the button",""
